year,round,ConstructorId,points,status
2020,3,red_bull,18,Finished
2020,3,mercedes,15,Finished
2020,3,racing_point,12,Finished
2020,3,red_bull,10,Finished
2020,3,ferrari,8,+1 Lap
2020,3,racing_point,6,+1 Lap
2020,3,renault,4,+1 Lap
2020,3,mclaren,2,+1 Lap
2020,3,haas,1,+1 Lap
2020,3,ferrari,0,+1 Lap
2020,3,alphatauri,0,+1 Lap
2020,3,mclaren,0,+1 Lap
2020,3,renault,0,+1 Lap
2020,3,alfa,0,+1 Lap
2020,3,haas,0,+1 Lap
2020,3,alfa,0,+1 Lap
2020,3,williams,0,+1 Lap
2020,3,williams,0,+5 Laps
2020,3,alphatauri,0,Engine
2021,3,mercedes,25,Finished
2021,3,red_bull,18,Finished
2021,3,mercedes,16,Finished
2021,3,red_bull,12,Finished
2021,3,mclaren,10,Finished
2021,3,ferrari,8,Finished
2021,3,alpine,6,Finished
2021,3,alpine,4,Finished
2021,3,mclaren,2,Finished
2021,3,alphatauri,1,Finished
2021,3,ferrari,0,Finished
2021,3,alfa,0,+1 Lap
2021,3,aston_martin,0,+1 Lap
2021,3,aston_martin,0,+1 Lap
2021,3,alphatauri,0,+1 Lap
2021,3,williams,0,+1 Lap
2021,3,haas,0,+2 Laps
2021,3,williams,0,+2 Laps
2021,3,haas,0,+2 Laps
2021,3,alfa,0,Collision damage
2022,3,ferrari,26,Finished
2022,3,red_bull,18,Finished
2022,3,mercedes,15,Finished
2022,3,mercedes,12,Finished
2022,3,mclaren,10,Finished
2022,3,mclaren,8,Finished
2022,3,alpine,6,Finished
2022,3,alfa,4,Finished
2022,3,alphatauri,2,Finished
2022,3,williams,1,Finished
2022,3,alfa,0,Finished
2022,3,aston_martin,0,Finished
2022,3,haas,0,+1 Lap
2022,3,haas,0,+1 Lap
2022,3,alphatauri,0,+1 Lap
2022,3,williams,0,+1 Lap
2022,3,alpine,0,+1 Lap
2022,3,red_bull,0,Fuel leak
2022,3,aston_martin,0,Accident
2022,3,ferrari,0,Spun off
2010,4,mclaren,25,Finished
2010,4,mclaren,18,Finished
2010,4,mercedes,15,Finished
